"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"08A116E3/89/0";"Would you like me to convert document to %ls?";"您希望我将文档转换为 %ls 吗？";;
"08A116E3/48/0";"Would you like me to create a blank PDF?";"您希望我创建一个空白的 PDF 吗？";;
"08A116E3/90/0";"Would you like me to delete all attachments in this pdf?";"您希望我删除此 pdf 中的所有附件吗？";;
"08A116E3/49/0";"Would you like me to edit &quot;all objects/text/image/shape/shading&quot;?";"您希望我编辑“所有对象/文本/图像/形状/渐变”吗？";;
"08A116E3/50/0";"Would you like me to edit static XFA form?";"您希望我编辑静态 XFA 表单吗？";;
"08A116E3/51/0";"Would you like me to edit text in this pdf?";"您希望我编辑此 PDF 中的文本吗？";;
"08A116E3/52/0";"Forms";"表单";;
"08A116E3/91/0";"Would you like me to run form field recognition?";"您希望我运行表单域识别吗？";;
"08A116E3/53/0";"Would you like me to &quot;hide&quot; all comments?";"您希望我“隐藏”所有评论吗？";;
"08A116E3/54/0";"Would you like me to import comments from other PDF or FDF files into the current document?";"您希望我将其他 PDF 或 FDF 文件中的注释导入到当前文档中吗？";;
"08A116E3/55/0";"Would you like me to set the page layout to &quot;%ls&quot; display mode?";"您希望我将页面布局设置为“%ls”显示模式吗？";;
"08A116E3/56/0";"continuous-view-mode";"连续视图模式";;
"08A116E3/57/0";"facing-page-view-mode";"对开视图模式";;
"08A116E3/58/0";"facing-continuous-page-view-mode";"连续对开视图模式";;
"08A116E3/59/0";"separate-cover-page-view-mode";"单独封面页视图模式";;
"08A116E3/60/0";"single-page-view-mode";"单页视图模式";;
"08A116E3/61/0";"Would you like me to open form preferences?";"您希望我打开表单偏好设置吗？";;
"08A116E3/62/0";"Would you like me to print this form or document?";"您希望我打印此表单或文件吗？";;
"08A116E3/63/0";"Would you like me to show properties?";"您希望我显示属性吗？";;
"08A116E3/64/0";"Would you like me to recognize the text in this pdf?";"你想让我识别这个 pdf 中的文本吗？";;
"08A116E3/65/0";"Would you like me to read current page?";"您希望我朗读当前页面吗？";;
"08A116E3/66/0";"Would you like me to read from current page?";"您希望我从当前页面开始朗读吗？";;
"08A116E3/67/0";"Would you like me to remove security from PDF?";"您希望我删除 PDF 的安全设置吗？";;
"08A116E3/68/0";"Would you like me to reset unsaved form entries?";"您希望我重置未保存的表单条目吗？";;
"08A116E3/69/0";"Would you like me to &quot;show&quot; all comments?";"您希望我“显示”所有评论吗？";;
"08A116E3/70/0";"Would you like me to stop/pause reading?";"您希望我停止/暂停朗读吗？";;
"08A116E3/71/0";"Would you like me to change to text viewer?";"您希望我切换到文本查看器吗？";;
"08A116E3/5/0";"Foxit AI Assistant";"福昕AI助手";;
"08A116E3/13/0";"Loading...";"正在加载...";;
"08A116E3/6/0";"Use AI to summarize or rewrite your document.";"使用AI对文档进行概括或重写。";;
"08A116E3/7/0";"&amp;Enhance writing";"提高写作(&amp;E)";;
"08A116E3/18/0";"Rewrite the text based on preferences";"根据偏好设置，重写文本";;
"08A116E3/16/0";"&amp;Define and Clarify";"定义并阐明(&amp;D)";;
"08A116E3/19/0";"Provide clear definitions and explanations to enhance understanding";"提供清晰的定义和解释以增强理解";;
"08A116E3/15/0";"&amp;Spelling &amp;&amp; Grammar";"拼写和语法(&amp;F)";;
"08A116E3/20/0";"Check and correct spelling and grammatical errors to ensure the accuracy";"检查并更正拼写和语法错误以确保准确性";;
"08A116E3/8/0";"&amp;Summarize";"总结(&amp;S)";;
"08A116E3/21/0";"Understand key section in text with generative summaries";"使用生成摘要理解文本中的关键部分";;
"08A116E3/14/0";"&amp;Translate";"翻译(&amp;T)";;
"08A116E3/22/0";"Translate the text";"翻译文本";;
"08A116E3/200/0";"&amp;AI Text Detection";"AI 文本检测(&amp;A)";;
"08A116E3/201/0";"Check selected text for AI-generated content";"检查选定文本中是否存在 AI 生成的内容";;
"08A116E3/9/0";"Don&apos;t show again";"不再显示";;
"08A116E3/10/0";"AI assistance for increased productivity";"AI辅助提高生产力";;
"08A116E3/11/0";"The text you selected has exceeded %ls characters, the excess will not be processed. Do you want to continue?";"您选择的文本已超过%ls个字符，多余的将不予处理。是否要继续？";;
"08A116E3/137/0";"Stop";"停止";;
